"time","electro_Mechanical_Model.omega","electro_Mechanical_Model.theta","thermal_model.MainBody.T","thermal_model.Panel1.T","thermal_model.Radiator1.T","electro_Mechanical_Model.resistor.i"
0,0,-1.2566370614359172,298.15,298.15,298.15,0
1.8312716148456896e-7,9.141068790718834e-7,-1.2566370611845896,298.14999778833567,298.1501890595987,298.1499753860411,0.15306805393666043
1.8312716148456896e-7,9.141068790718834e-7,-1.2566370611845896,298.14999778833567,298.1501890595987,298.1499753860411,0.15306805393666043
0.1,7.437560303692243e-4,-0.9844782109060279,297.86877879119,324.70651857096834,295.5079619919226,-8.163964491614936e-7
0.2,7.325903927915845e-4,-0.7182792507500955,297.8129469459595,325.2328554475487,293.36234301399463,-3.0107218462478254e-6
0.3,7.043116680590994e-4,-0.4591200376651741,297.67154889741335,325.1513726213787,291.30229333068786,-5.665660162972479e-6
0.4,6.599461285644384e-4,-0.21310673921501916,297.4497173695626,324.99365845395545,289.36065447086486,-7.963897204060432e-6
0.49337654266634845,6.061432105747037e-4,1.0001791900297074e-10,297.180699780737,324.7955348139103,287.6799177307263,-9.763233328248483e-6
0.49337654266634845,6.061432105747037e-4,1.0001791900297074e-10,297.180699780737,324.7955348139103,287.6799177307263,-9.763233328248483e-6
0.5,6.488867216502572e-21,1.1224941744282171e-5,297.15974850610706,324.7797972504067,287.6506879282226,-8.767648571445302e-17
0.6,-2.71034105926698e-35,1.1224941744282118e-5,296.8505415488528,324.5379758863368,287.3774883290452,7.020358298116705e-31
0.7,-2.9636480503642625e-35,1.1224941744282095e-5,296.5521215141907,324.3019024609362,287.1137246732118,7.714715408043515e-31
0.8,2.3708254304406542e-36,1.1224941744282088e-5,296.2647710129909,324.0743724979369,286.8596651560116,-6.156167984178094e-32
0.9,-5.67481718252559e-39,1.1224941744282083e-5,295.9879672157391,323.85509916561216,286.6148573757595,-4.635460441548107e-36
1,-1.0871792017617985e-39,1.1224941744282085e-5,295.72137563009335,323.6438354835489,286.3790116478008,-8.858527664137423e-37
1.1,8.581651685655817e-41,1.1224941744282085e-5,295.4646848727749,323.44033550585203,286.1518610379159,7.028421516893255e-38
1.2,2.1160893249129447e-40,1.1224941744282046e-5,295.2173659128024,323.2441917575109,285.9329459939388,1.7242448808815666e-37
1.3,2.460494631715901e-41,1.1224941744282008e-5,294.9791700810937,323.05521303692933,285.7220514057673,1.973813006829377e-38
1.4,-7.99661540443786e-41,1.122494174428198e-5,294.74975190228514,322.8731330619639,285.51887769087034,-6.528716029266005e-38
1.5,-1.215430577629077e-41,1.1224941744281925e-5,294.5287764678885,322.69769321068566,285.32313368015525,-9.830328442096877e-39
1.6,7.189565320041742e-41,1.1224941744281885e-5,294.31592267055703,322.5286457445159,285.13454073154566,5.878665234556346e-38
1.6806504145071035,1.0775020696941287e-40,1.1224941744281878e-5,294.14999994058496,322.39683249698084,284.9875000976067,8.799041290695262e-38
1.6806504145071035,1.0775020696941287e-40,1.1224941744281878e-5,294.14999994058496,322.39683249698084,284.9875000976067,8.799041290695262e-38
1.6841501623124193,-1.4148372609004945e-6,-1.0000015158438848e-10,294.1429154056979,322.39120357771833,284.9812737242544,-6.244805097034905e-6
1.6841501623124193,-1.4148372609004945e-6,-1.0000015158438848e-10,294.1429154056979,322.39120357771833,284.9812737242544,-6.244805097034905e-6
1.7,-7.808837043531495e-6,-2.632654291323983e-4,294.11094547173155,322.3657982671767,284.9545128545803,-6.205837565834711e-6
1.8,-4.7055539991224806e-5,-0.010195591175704007,293.91471248530297,322.20944076224396,284.8432891738396,-5.8888549359140165e-6
1.9,-8.38769238915461e-5,-0.03384576466665736,293.7306062845222,322.06183331747155,284.83035235125635,-5.457625516268899e-6
2,-1.1756737746319988e-4,-0.07020872715232494,293.5621549048072,321.92581628762304,284.9129809679289,-4.924742136622325e-6
2.1,-1.4751114984305408e-4,-0.1180441480685005,293.4124370781384,321.8039104072982,285.08711814091413,-4.303606167847974e-6
2.2,-1.7318231699370434e-4,-0.1759048707796193,293.28408240098156,321.6982911283404,285.3473865523147,-3.608450146867266e-6
2.3,-1.9414932097641934e-4,-0.24217180884680695,293.1792486380292,321.61076754449726,285.687100356077,-2.8542747801517023e-6
2.4,-2.1008016069881745e-4,-0.31508866336560837,293.09959576852384,321.5427608821362,286.09825180416874,-2.056811789918843e-6
2.5,-2.2074729751783608e-4,-0.3927984470264132,293.0462614583298,321.49528409939205,286.57150978432543,-1.2324716992401232e-6
2.6,-2.2603140245544098e-4,-0.47338129321126043,293.01984232397655,321.468926101872,287.09624126498744,-3.982709145128721e-7
2.7,-2.2592502821854016e-4,-0.5548945953115203,293.020375572773,321.4638355388382,287.66057050571226,4.282966993624605e-7
