"time","electro_Mechanical_Model.angleSensor.phi","electro_Mechanical_Model.inertia.w","electro_Mechanical_Model.resistor.i","thermal_model.MainBody.T","thermal_model.Panel1.T","thermal_model.Radiator1.T"
0,-1.2566370614359172,0,0,298.15,298.15,298.15
0.010258514567090685,-1.2275078312733494,0.7797176790422329,-24.5223619,298.04854752934364,306.9473128152377,297.7136648384112
0.02051702913418137,-1.1989744148084522,0.7664794734100893,-15.888402129805568,297.9823708895369,312.9222435385714,297.4018341969785
0.030775543701272057,-1.1708369629129762,0.7579525147228361,-10.162852054469823,297.9397456376074,316.96303328142824,297.11959242468936
0.04103405826836274,-1.142953022286866,0.7525318733185703,-6.414772121287531,297.9126486766564,319.68783561755964,296.8572040356471
0.05129257283545343,-1.1152292780741477,0.749129184577995,-4.004115039207225,297.8956392502227,321.521689854755,296.60812281790874
0.061551087402544113,-1.0876056629906887,0.7470097507223494,-2.4945153668034403,297.8850445966128,322.75438127987474,296.3679710647021
0.07180960196963479,-1.0600445161767487,0.7456792954593584,-1.590194652138459,297.87839382727685,323.5823243175404,296.1338363717746
0.08206811653672548,-1.032523231387577,0.7448061836713844,-1.0914591929867374,297.87402909941454,324.13811365273324,295.90379201981136
0.09232663110381616,-1.0050292918426227,0.7441684406260984,-0.8638447404354835,297.87084076344706,324.5110172244554,295.6765721890743
0.10258514567090686,-0.9775569262025184,0.7436178664617409,-0.8169704346418915,297.8680879706881,324.7610234656247,295.4513531024485
0.11284366023799754,-0.9501048604875109,0.7430558220909322,-0.8901561607206633,297.8652776268216,324.92839544481694,295.22760604203677
0.12310217480508823,-0.92267480855088,0.7424169323274599,-1.0426963497009463,297.8620829237773,325.04013513415043,295.0049988616616
0.1333606893721789,-0.8952704591965412,0.7416581363584707,-1.247369693817589,297.858288602894,325.1143417766685,294.783330098007
0.14361920393926958,-0.8678967967922273,0.7407513393000353,-1.4858983431833628,297.85375422006956,325.163143498483,294.56248493896237
0.15387771850636028,-0.840559645613961,0.7396784837511173,-1.7455980164154599,297.84838951061744,325.19466611794894,294.3424058222037
0.16413623307345096,-0.8132653641943856,0.7384282479233273,-2.0180265158401816,297.8421378761145,325.2143539551814,294.12307281549243
0.17439474764054166,-0.7860206402049923,0.7369938298800018,-2.298543497562093,297.8349653183668,325.2258552918614,293.9044905319773
0.1846532622076323,-0.7588323527074422,0.7353714659258986,-2.58298533638464,297.8268530245359,325.2316156856942,293.686679409359
0.19491177677472302,-0.7317074795431563,0.7335594359340651,-2.8688674923739117,297.81779239844434,325.2332754115973,293.4696699018842
0.20517029134181372,-0.7046530349761931,0.7315573970984697,-3.154261232015589,297.80778173069893,325.2319356183514,293.2534986166007
0.2154288059089044,-0.6776760276105304,0.7293659393515854,-3.4388596109735436,297.7968239661899,325.22833655377667,293.0382057467568
0.22568732047599507,-0.6507834319041871,0.7269862812970226,-3.720738447827708,297.7849252065231,325.2229768949591,292.8238333707314
0.23594583504308575,-0.6239821688081232,0.7244200737025882,-4.000598352390874,297.7720937046948,325.21619363365335,292.6104243285131
0.24620434961017645,-0.5972790925300189,0.7216692629605678,-4.275379863204743,297.7583391893686,325.2082155547106,292.3980214833954
0.25646286417726716,-0.5706809814332964,0.7187359981039648,-4.547389046052191,297.7436724097765,325.19919904268744,292.1866672406406
0.2667213787443578,-0.5441945317006425,0.7156225717555104,-4.818607335851606,297.72810482867817,325.1892520379724,291.97640323758657
0.2769798933114485,-0.517826352867129,0.7123313773986686,-5.083612084477706,297.7116484142969,325.17845007635077,291.76727014790623
0.28723840787853916,-0.49158296467438667,0.7088648814980993,-5.345316539728498,297.6943154985029,325.1668470321273,291.5593075621897
0.29749692244562986,-0.46547079473190184,0.7052256037495259,-5.603322351602701,297.6761186797615,325.1544822957264,291.3525539190019
0.30775543701272057,-0.4394961768299801,0.7014161036636694,-5.857449982055886,297.6570707557879,325.1413855842625,291.14704646986996
0.31801395157981127,-0.4136653496495684,0.6974389711847742,-6.107662208184054,297.6371846763757,325.12758015508774,290.9428212666003
0.3282724661469019,-0.38798445576694074,0.693296819912533,-6.353927875200049,297.61647350957173,325.1130849647395,290.73991316322775
0.3385309807139926,-0.3624595408780221,0.6889922821987646,-6.59622092089013,297.59495041718907,325.0979160993244,290.5383558279556
0.34878949528108333,-0.33709655317627313,0.6845280054754047,-6.834525095862351,297.5726286363292,325.082087739048,290.338181761275
0.359048009848174,-0.3119013428511333,0.6799066491473502,-7.068790558038084,297.54952146514063,325.06561280041075,290.13942231820596
0.3693065244152646,-0.2868796616807068,0.6751308835541162,-7.29908645194026,297.5256422514609,325.04850336387744,289.9421077331083
0.37956503898235533,-0.26203716269997596,0.6702033851276117,-7.525316443175281,297.5010043834241,325.0307709598492,289.7462671460186
0.38982355354944603,-0.23737939993376547,0.6651268388293436,-7.747561853777903,297.47562128149167,325.01242675716054,289.55192862987326
0.40008206811653674,-0.21291182818408322,0.6599039335455313,-7.965750865581111,297.449506391451,324.99348168912707,289.3591192181061
0.41034058268362744,-0.18863980286661416,0.6545373622389886,-8.179795891877143,297.4226731781487,324.9739465361301,289.16786493234355
0.4205990972507181,-0.16456857989134785,0.6490298205256072,-8.389471100486928,297.39513511976617,324.9538319796977,288.9781908099768
0.4308576118178088,-0.14070331558383273,0.64338400579289,-8.595848494333934,297.36690570251517,324.93314863748384,288.7901209314699
0.4411161263848995,-0.11704906664463376,0.6376026156776856,-8.797471867002974,297.3379984156709,324.91190708550164,288.6036784473086
